               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.063075,            0.038379,            0.031359,             0.25698,             0.19982,              0.1336,             0.06283,                 nan,                 nan,                 nan,             0.00703,             0.00703,             0.00703
                  38,            0.063007,            0.038517,            0.031533,             0.19743,             0.18163,             0.12645,            0.063823,                 nan,                 nan,                 nan,           0.0069475,           0.0069475,           0.0069475
                  39,            0.062901,            0.038705,            0.030592,             0.27326,             0.16977,             0.14581,            0.065816,                 nan,                 nan,                 nan,            0.006865,            0.006865,            0.006865
                  40,            0.062546,            0.038316,            0.030329,             0.29756,             0.16885,             0.14022,             0.06999,                 nan,                 nan,                 nan,           0.0067825,           0.0067825,           0.0067825
                  41,            0.062225,            0.038005,             0.03019,             0.32603,             0.18228,             0.14881,            0.075273,                 nan,                 nan,                 nan,              0.0067,              0.0067,              0.0067
                  42,            0.062232,            0.038534,            0.029867,             0.27392,             0.18006,             0.13084,            0.060935,                 nan,                 nan,                 nan,           0.0066175,           0.0066175,           0.0066175
                  43,            0.061849,            0.038737,            0.029579,             0.29675,             0.17752,             0.14331,            0.066822,                 nan,                 nan,                 nan,            0.006535,            0.006535,            0.006535
                  44,            0.061832,            0.038073,            0.029535,             0.20695,             0.15079,             0.14208,            0.066825,                 nan,                 nan,                 nan,           0.0064525,           0.0064525,           0.0064525
                  45,            0.061822,            0.038436,             0.02905,             0.23044,             0.20656,             0.15336,            0.074696,                 nan,                 nan,                 nan,             0.00637,             0.00637,             0.00637
                  46,            0.061498,            0.037715,            0.028811,             0.22078,             0.18129,             0.14921,            0.072183,                 nan,                 nan,                 nan,           0.0062875,           0.0062875,           0.0062875
                  47,            0.061733,             0.03788,            0.028403,             0.25222,             0.18943,             0.16549,            0.076485,                 nan,                 nan,                 nan,            0.006205,            0.006205,            0.006205
                  48,            0.061401,            0.038341,            0.028215,             0.22462,             0.18935,             0.14743,            0.072693,                 nan,                 nan,                 nan,           0.0061225,           0.0061225,           0.0061225
                  49,            0.061492,            0.037959,            0.027662,             0.24914,             0.17316,             0.15018,             0.07149,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                  50,            0.061016,            0.038359,             0.02746,             0.20985,             0.20513,              0.1497,            0.075897,                 nan,                 nan,                 nan,           0.0059575,           0.0059575,           0.0059575
                  51,            0.061035,            0.037456,            0.027387,             0.33449,             0.16276,             0.16204,            0.083464,                 nan,                 nan,                 nan,            0.005875,            0.005875,            0.005875
                  52,            0.060729,             0.03856,            0.026998,              0.2629,             0.19106,             0.15927,            0.076432,                 nan,                 nan,                 nan,           0.0057925,           0.0057925,           0.0057925
                  53,            0.060612,             0.03802,            0.026748,             0.23813,             0.19581,              0.1584,            0.079192,                 nan,                 nan,                 nan,             0.00571,             0.00571,             0.00571
                  54,            0.060442,            0.038467,            0.026616,             0.27858,             0.21566,             0.16883,            0.084324,                 nan,                 nan,                 nan,           0.0056275,           0.0056275,           0.0056275
                  55,            0.060068,            0.037371,            0.026161,              0.3133,             0.18614,             0.16596,            0.080104,                 nan,                 nan,                 nan,            0.005545,            0.005545,            0.005545
                  56,             0.06043,            0.038265,            0.026153,             0.30092,             0.18452,             0.16272,            0.080155,                 nan,                 nan,                 nan,           0.0054625,           0.0054625,           0.0054625
                  57,            0.059451,            0.037211,            0.026119,              0.3007,             0.21587,             0.18975,            0.092671,                 nan,                 nan,                 nan,             0.00538,             0.00538,             0.00538
                  58,            0.059705,             0.03813,            0.025351,              0.2976,              0.1997,             0.16716,            0.083533,                 nan,                 nan,                 nan,           0.0052975,           0.0052975,           0.0052975
                  59,            0.059626,            0.037629,            0.024945,             0.30096,              0.2072,             0.17033,            0.088249,                 nan,                 nan,                 nan,            0.005215,            0.005215,            0.005215
                  60,             0.05963,            0.037309,            0.025239,             0.27472,             0.19419,             0.17418,            0.083683,                 nan,                 nan,                 nan,           0.0051325,           0.0051325,           0.0051325
                  61,            0.059315,            0.037341,            0.025134,             0.31866,             0.20862,             0.18636,            0.092032,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                  62,            0.059039,            0.037144,            0.024816,             0.36987,             0.18827,             0.17499,            0.092483,                 nan,                 nan,                 nan,           0.0049675,           0.0049675,           0.0049675
                  63,            0.058758,            0.036743,            0.024455,             0.25214,             0.22361,             0.17451,            0.091129,                 nan,                 nan,                 nan,            0.004885,            0.004885,            0.004885
                  64,            0.058624,            0.037007,            0.024669,             0.30136,             0.23838,             0.19037,            0.095212,                 nan,                 nan,                 nan,           0.0048025,           0.0048025,           0.0048025
                  65,            0.059114,            0.037094,            0.024129,             0.28287,             0.23366,             0.19645,            0.098274,                 nan,                 nan,                 nan,             0.00472,             0.00472,             0.00472
                  66,            0.058617,            0.037286,            0.024324,             0.30776,              0.2045,             0.18442,            0.091096,                 nan,                 nan,                 nan,           0.0046375,           0.0046375,           0.0046375
                  67,             0.05821,            0.036647,            0.023407,             0.35074,             0.23391,             0.19481,            0.097696,                 nan,                 nan,                 nan,            0.004555,            0.004555,            0.004555
                  68,            0.058343,            0.036732,            0.023446,             0.29208,             0.21817,             0.18968,            0.091262,                 nan,                 nan,                 nan,           0.0044725,           0.0044725,           0.0044725
                  69,            0.057881,            0.037393,            0.022871,             0.26845,             0.23964,             0.20661,             0.10358,                 nan,                 nan,                 nan,             0.00439,             0.00439,             0.00439
                  70,            0.057782,            0.036389,            0.023107,             0.27512,              0.2354,             0.18619,            0.095014,                 nan,                 nan,                 nan,           0.0043075,           0.0043075,           0.0043075
                  71,            0.057998,             0.03719,            0.022737,             0.31944,             0.20495,             0.19285,            0.096489,                 nan,                 nan,                 nan,            0.004225,            0.004225,            0.004225
                  72,            0.057681,            0.035687,            0.022841,             0.37365,             0.20551,             0.19982,            0.098912,                 nan,                 nan,                 nan,           0.0041425,           0.0041425,           0.0041425
                  73,            0.057885,            0.036682,            0.022902,             0.31685,             0.24294,             0.20703,             0.10532,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                  74,            0.057489,            0.036979,            0.022332,             0.36766,             0.20329,             0.20383,             0.10326,                 nan,                 nan,                 nan,           0.0039775,           0.0039775,           0.0039775
                  75,            0.057308,            0.036426,            0.022087,             0.34533,             0.23468,             0.20856,             0.10242,                 nan,                 nan,                 nan,            0.003895,            0.003895,            0.003895
                  76,            0.057331,            0.036734,            0.022187,             0.34743,             0.24063,             0.20711,              0.1029,                 nan,                 nan,                 nan,           0.0038125,           0.0038125,           0.0038125
                  77,            0.057292,            0.036903,            0.021373,             0.30259,             0.23898,             0.20753,             0.10197,                 nan,                 nan,                 nan,             0.00373,             0.00373,             0.00373
                  78,            0.056744,            0.036538,            0.021306,             0.39869,             0.21814,              0.2177,             0.11479,                 nan,                 nan,                 nan,           0.0036475,           0.0036475,           0.0036475
                  79,            0.056652,            0.035311,            0.021188,             0.35997,             0.22446,             0.21777,             0.11173,                 nan,                 nan,                 nan,            0.003565,            0.003565,            0.003565
                  80,            0.056626,            0.036143,            0.021205,             0.31507,             0.23141,             0.20691,             0.10529,                 nan,                 nan,                 nan,           0.0034825,           0.0034825,           0.0034825
                  81,            0.057071,            0.036115,            0.021475,             0.33018,             0.23261,             0.20522,             0.10709,                 nan,                 nan,                 nan,              0.0034,              0.0034,              0.0034
                  82,            0.056614,            0.036256,            0.020467,             0.33826,             0.23293,               0.206,             0.10518,                 nan,                 nan,                 nan,           0.0033175,           0.0033175,           0.0033175
                  83,            0.056444,            0.035592,            0.020647,             0.37204,             0.22239,             0.21393,             0.10451,                 nan,                 nan,                 nan,            0.003235,            0.003235,            0.003235
                  84,            0.055945,            0.035726,            0.020418,             0.33752,             0.23521,             0.21754,             0.11036,                 nan,                 nan,                 nan,           0.0031525,           0.0031525,           0.0031525
                  85,            0.056118,            0.036087,             0.02003,             0.36483,              0.2283,             0.21847,             0.11271,                 nan,                 nan,                 nan,             0.00307,             0.00307,             0.00307
                  86,            0.055763,            0.035186,            0.020616,             0.40715,             0.20488,             0.21302,             0.10946,                 nan,                 nan,                 nan,           0.0029875,           0.0029875,           0.0029875
                  87,            0.055836,            0.034898,            0.019975,             0.31549,              0.2321,             0.20515,              0.1057,                 nan,                 nan,                 nan,            0.002905,            0.002905,            0.002905
                  88,            0.055405,            0.035392,            0.019527,             0.37133,             0.22652,             0.22083,             0.11264,                 nan,                 nan,                 nan,           0.0028225,           0.0028225,           0.0028225
                  89,             0.05541,            0.035823,            0.019722,             0.36235,             0.21464,             0.20962,             0.10846,                 nan,                 nan,                 nan,             0.00274,             0.00274,             0.00274
                  90,            0.055018,            0.035222,            0.019461,             0.36974,             0.21749,             0.21119,             0.10878,                 nan,                 nan,                 nan,           0.0026575,           0.0026575,           0.0026575
                  91,            0.055339,            0.035573,            0.019405,             0.37081,             0.23506,             0.22553,             0.11613,                 nan,                 nan,                 nan,            0.002575,            0.002575,            0.002575
                  92,            0.055348,            0.035861,             0.01893,             0.36179,             0.24519,             0.22264,             0.11323,                 nan,                 nan,                 nan,           0.0024925,           0.0024925,           0.0024925
                  93,            0.055493,            0.035768,            0.019108,             0.35559,             0.20967,             0.20222,             0.10619,                 nan,                 nan,                 nan,             0.00241,             0.00241,             0.00241
                  94,            0.054827,            0.035277,            0.018697,             0.35049,             0.22249,             0.20857,             0.11133,                 nan,                 nan,                 nan,           0.0023275,           0.0023275,           0.0023275
                  95,            0.054933,            0.034989,            0.019157,             0.39658,             0.23064,             0.22106,               0.115,                 nan,                 nan,                 nan,            0.002245,            0.002245,            0.002245
                  96,            0.054736,            0.035361,            0.018933,             0.38134,             0.23144,             0.22227,             0.11092,                 nan,                 nan,                 nan,           0.0021625,           0.0021625,           0.0021625
                  97,            0.054489,            0.035492,            0.018664,             0.34585,             0.25841,              0.2247,               0.118,                 nan,                 nan,                 nan,             0.00208,             0.00208,             0.00208
                  98,            0.054574,            0.034818,            0.018586,             0.33869,             0.26636,             0.22575,             0.12152,                 nan,                 nan,                 nan,           0.0019975,           0.0019975,           0.0019975
                  99,             0.05394,            0.034545,              0.0176,             0.32695,             0.24447,             0.21422,             0.11089,                 nan,                 nan,                 nan,            0.001915,            0.001915,            0.001915
                 100,            0.054095,            0.034336,            0.017887,             0.38765,             0.23396,             0.21983,             0.11665,                 nan,                 nan,                 nan,           0.0018325,           0.0018325,           0.0018325
                 101,            0.053766,             0.03446,            0.017896,             0.35927,             0.24626,             0.21984,             0.11498,                 nan,                 nan,                 nan,             0.00175,             0.00175,             0.00175
                 102,            0.053995,             0.03458,            0.017611,             0.36444,             0.23392,             0.22496,             0.11847,                 nan,                 nan,                 nan,           0.0016675,           0.0016675,           0.0016675
                 103,            0.053966,             0.03523,            0.017474,             0.40255,             0.23265,             0.22609,             0.12166,                 nan,                 nan,                 nan,            0.001585,            0.001585,            0.001585
                 104,            0.053662,            0.034513,            0.017255,             0.38061,             0.24632,             0.22661,             0.11961,                 nan,                 nan,                 nan,           0.0015025,           0.0015025,           0.0015025
                 105,            0.053473,              0.0348,            0.017154,             0.38105,             0.24406,             0.22477,              0.1173,                 nan,                 nan,                 nan,             0.00142,             0.00142,             0.00142
                 106,            0.053551,            0.034956,            0.017261,             0.35121,             0.24274,             0.22501,             0.11922,                 nan,                 nan,                 nan,           0.0013375,           0.0013375,           0.0013375
                 107,            0.053086,            0.034408,            0.016715,             0.32477,              0.2516,             0.22074,              0.1189,                 nan,                 nan,                 nan,            0.001255,            0.001255,            0.001255
                 108,            0.053217,            0.034405,            0.016673,             0.37285,             0.25143,             0.21945,             0.11607,                 nan,                 nan,                 nan,           0.0011725,           0.0011725,           0.0011725
                 109,            0.052918,            0.033883,             0.01629,             0.39767,             0.23088,             0.22281,             0.11752,                 nan,                 nan,                 nan,             0.00109,             0.00109,             0.00109
                 110,            0.052834,            0.034499,            0.016601,             0.36239,             0.22498,             0.21518,              0.1156,                 nan,                 nan,                 nan,           0.0010075,           0.0010075,           0.0010075
                 111,            0.052595,            0.033672,            0.016446,             0.39842,             0.23521,             0.22004,             0.11891,                 nan,                 nan,                 nan,            0.000925,            0.000925,            0.000925
                 112,            0.052401,            0.033792,            0.016257,             0.37938,             0.23995,              0.2226,             0.11911,                 nan,                 nan,                 nan,           0.0008425,           0.0008425,           0.0008425
                 113,            0.052562,            0.034278,            0.016204,             0.39438,              0.2306,             0.22191,             0.11693,                 nan,                 nan,                 nan,             0.00076,             0.00076,             0.00076
                 114,            0.052378,            0.034098,            0.015788,             0.38719,             0.22989,             0.22452,             0.11902,                 nan,                 nan,                 nan,           0.0006775,           0.0006775,           0.0006775
                 115,            0.052294,            0.033724,            0.016101,             0.36297,             0.24205,             0.22189,             0.11834,                 nan,                 nan,                 nan,            0.000595,            0.000595,            0.000595
                 116,            0.052059,            0.033596,            0.015536,             0.37329,             0.24541,             0.22347,              0.1184,                 nan,                 nan,                 nan,           0.0005125,           0.0005125,           0.0005125
                 117,             0.05219,             0.03375,            0.015632,             0.37572,             0.22916,             0.22541,              0.1184,                 nan,                 nan,                 nan,             0.00043,             0.00043,             0.00043
                 118,             0.05194,            0.032715,            0.015868,             0.35657,             0.24327,             0.22451,             0.11966,                 nan,                 nan,                 nan,           0.0003475,           0.0003475,           0.0003475
                 119,            0.051764,            0.032926,            0.015847,             0.38121,             0.23763,             0.22529,             0.11764,                 nan,                 nan,                 nan,            0.000265,            0.000265,            0.000265
