               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.060053,            0.050728,            0.025977,             0.28909,             0.17442,             0.15266,            0.070722,            0.061871,            0.029067,            0.031495,           0.0071125,           0.0071125,           0.0071125
                  37,            0.059598,            0.050332,            0.025606,             0.23384,             0.22063,             0.15184,            0.066229,            0.062891,            0.029451,            0.032227,             0.00703,             0.00703,             0.00703
                  38,            0.058944,            0.050687,            0.024109,             0.20351,             0.22276,             0.15903,            0.066241,            0.061723,            0.028791,            0.030947,           0.0069475,           0.0069475,           0.0069475
                  39,            0.058928,            0.049435,            0.024174,             0.25778,             0.22214,             0.17329,            0.077047,            0.061569,            0.028873,            0.030723,            0.006865,            0.006865,            0.006865
                  40,            0.058494,            0.048894,            0.023884,              0.2433,             0.22967,             0.16568,            0.076196,            0.061725,            0.029311,            0.031301,           0.0067825,           0.0067825,           0.0067825
                  41,            0.058458,            0.050303,            0.024217,             0.22549,             0.23266,             0.15865,            0.070448,            0.061881,            0.028896,            0.030895,              0.0067,              0.0067,              0.0067
                  42,            0.058242,            0.049154,            0.023617,             0.19756,             0.22809,             0.16458,            0.078913,            0.061464,            0.028806,            0.030846,           0.0066175,           0.0066175,           0.0066175
                  43,            0.057978,            0.049266,            0.023517,             0.23821,             0.22612,             0.16953,            0.076387,            0.061541,            0.029241,            0.030431,            0.006535,            0.006535,            0.006535
                  44,            0.057913,            0.049859,            0.022758,             0.28688,             0.24642,             0.20023,            0.087856,            0.061694,            0.028828,            0.030843,           0.0064525,           0.0064525,           0.0064525
                  45,            0.057777,            0.049052,             0.02268,             0.27313,             0.23025,             0.17627,            0.076685,            0.061442,            0.029161,            0.029756,             0.00637,             0.00637,             0.00637
                  46,            0.057291,            0.049653,            0.021808,             0.23342,             0.24755,             0.17982,            0.082334,             0.06148,            0.029375,            0.030419,           0.0062875,           0.0062875,           0.0062875
                  47,            0.057013,            0.048858,            0.022125,             0.30066,                0.25,             0.19455,            0.089254,            0.061652,            0.028731,            0.029313,            0.006205,            0.006205,            0.006205
                  48,            0.057048,            0.049647,            0.021321,             0.22875,             0.22969,             0.17323,            0.077285,            0.061389,            0.029105,            0.029534,           0.0061225,           0.0061225,           0.0061225
                  49,            0.057055,            0.048294,             0.02195,             0.28289,             0.24328,             0.18991,            0.088146,            0.060941,            0.028947,            0.029417,             0.00604,             0.00604,             0.00604
                  50,            0.056277,             0.04873,            0.021344,             0.28034,             0.22361,             0.19564,            0.083918,            0.060882,             0.02901,            0.029805,           0.0059575,           0.0059575,           0.0059575
                  51,             0.05652,            0.049212,            0.020608,             0.25682,             0.22259,             0.18714,            0.081547,            0.061607,            0.029483,            0.031521,            0.005875,            0.005875,            0.005875
                  52,            0.055669,            0.048943,              0.0206,             0.29529,             0.23116,             0.20588,            0.095738,            0.061576,            0.028988,            0.029696,           0.0057925,           0.0057925,           0.0057925
                  53,            0.055748,            0.048564,            0.020293,             0.28109,              0.2466,             0.18502,            0.086303,            0.060868,            0.029235,            0.030201,             0.00571,             0.00571,             0.00571
                  54,             0.05623,            0.048768,             0.02022,             0.27456,             0.24293,             0.20814,            0.094093,            0.061059,            0.029318,            0.029862,           0.0056275,           0.0056275,           0.0056275
                  55,            0.055749,            0.048005,            0.019996,             0.26824,               0.237,             0.18971,            0.089435,            0.061045,            0.029301,            0.030029,            0.005545,            0.005545,            0.005545
                  56,            0.055678,             0.04922,            0.019616,             0.33353,             0.24516,             0.20701,            0.094391,            0.060091,            0.029412,            0.028944,           0.0054625,           0.0054625,           0.0054625
                  57,            0.054679,            0.047339,              0.0196,             0.28295,             0.24269,             0.21475,            0.099725,            0.060375,            0.029701,            0.028936,             0.00538,             0.00538,             0.00538
                  58,            0.054895,            0.047214,            0.018786,             0.30348,             0.23657,             0.20246,            0.091951,            0.060298,            0.029404,             0.02927,           0.0052975,           0.0052975,           0.0052975
                  59,            0.054914,            0.047439,            0.019236,             0.30539,             0.25716,             0.22152,            0.099413,            0.060232,             0.02886,            0.027666,            0.005215,            0.005215,            0.005215
                  60,            0.054497,            0.047509,            0.018554,             0.33584,             0.24945,             0.21326,             0.10104,            0.061082,             0.02941,            0.029418,           0.0051325,           0.0051325,           0.0051325
                  61,            0.054473,            0.046959,            0.018463,             0.37194,             0.22496,             0.22576,             0.10939,            0.060737,            0.029312,            0.028854,             0.00505,             0.00505,             0.00505
