               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.052985,            0.060403,            0.017674,             0.51891,             0.41227,             0.41555,             0.23286,            0.047596,            0.032685,            0.015038,            0.008812,            0.008812,            0.008812
                  38,            0.052764,            0.060158,            0.017485,             0.50564,             0.41753,             0.41693,              0.2337,             0.04751,            0.032656,            0.015016,            0.008779,            0.008779,            0.008779
                  39,            0.052621,            0.060223,            0.017463,             0.53817,              0.4037,             0.41778,              0.2355,            0.047414,            0.032606,            0.014949,            0.008746,            0.008746,            0.008746
                  40,            0.052417,            0.060279,            0.017116,             0.54209,             0.40474,             0.41792,             0.23634,             0.04734,            0.032598,            0.014872,            0.008713,            0.008713,            0.008713
                  41,            0.052329,            0.060013,            0.017135,             0.52121,             0.41466,             0.42035,             0.23764,            0.047293,            0.032559,            0.014856,             0.00868,             0.00868,             0.00868
                  42,            0.052265,            0.060353,            0.017033,             0.51986,              0.4158,             0.42168,             0.23771,             0.04722,            0.032525,            0.014806,            0.008647,            0.008647,            0.008647
                  43,            0.052172,            0.060556,            0.017052,             0.52571,             0.41566,              0.4203,             0.23873,            0.047171,            0.032504,             0.01477,            0.008614,            0.008614,            0.008614
                  44,            0.052079,            0.060088,             0.01683,             0.52516,             0.42222,             0.42179,             0.23975,            0.047119,            0.032491,            0.014724,            0.008581,            0.008581,            0.008581
                  45,            0.052041,            0.060287,            0.016783,             0.52588,             0.42682,             0.42331,              0.2411,            0.047062,             0.03248,            0.014683,            0.008548,            0.008548,            0.008548
                  46,            0.051789,            0.060086,            0.016693,             0.52335,             0.42776,             0.42568,             0.24177,            0.047008,            0.032459,            0.014668,            0.008515,            0.008515,            0.008515
                  47,            0.051745,            0.059521,            0.016457,             0.52902,             0.42221,             0.42501,             0.24304,            0.046964,            0.032439,            0.014655,            0.008482,            0.008482,            0.008482
                  48,            0.051804,            0.059788,            0.016451,             0.52487,             0.42741,             0.42648,             0.24337,            0.046915,            0.032416,            0.014642,            0.008449,            0.008449,            0.008449
                  49,            0.051606,            0.059615,            0.016446,             0.52541,              0.4266,             0.42775,             0.24357,            0.046879,            0.032399,            0.014618,            0.008416,            0.008416,            0.008416
                  50,            0.051496,              0.0596,            0.016185,             0.51643,             0.43171,             0.42973,              0.2442,            0.046842,            0.032379,            0.014603,            0.008383,            0.008383,            0.008383
                  51,            0.051535,            0.058993,            0.016192,             0.51605,             0.43459,             0.42993,             0.24481,              0.0468,            0.032363,            0.014578,             0.00835,             0.00835,             0.00835
                  52,            0.051451,            0.059601,            0.016131,              0.5153,              0.4373,              0.4297,             0.24569,             0.04676,            0.032353,            0.014562,            0.008317,            0.008317,            0.008317
                  53,             0.05123,            0.059497,            0.015941,             0.52422,             0.43518,             0.43011,             0.24604,            0.046725,             0.03233,            0.014536,            0.008284,            0.008284,            0.008284
                  54,            0.051265,            0.059753,            0.015754,             0.52985,             0.43325,              0.4308,             0.24684,            0.046692,            0.032314,            0.014508,            0.008251,            0.008251,            0.008251
                  55,            0.051061,             0.05949,             0.01576,             0.52347,              0.4357,             0.43212,             0.24762,            0.046653,            0.032295,            0.014491,            0.008218,            0.008218,            0.008218
                  56,            0.050978,            0.059084,            0.015783,             0.52414,             0.43446,             0.43267,             0.24815,            0.046619,            0.032283,            0.014472,            0.008185,            0.008185,            0.008185
                  57,            0.051031,            0.058889,            0.015683,             0.52019,             0.43549,             0.43225,             0.24834,            0.046587,            0.032266,            0.014444,            0.008152,            0.008152,            0.008152
                  58,            0.051032,            0.058945,            0.015475,             0.52584,             0.43406,             0.43354,              0.2494,            0.046553,            0.032245,            0.014412,            0.008119,            0.008119,            0.008119
                  59,             0.05085,            0.059531,             0.01547,             0.52597,             0.43299,             0.43409,             0.24986,            0.046526,             0.03223,            0.014383,            0.008086,            0.008086,            0.008086
                  60,            0.050864,            0.058994,             0.01561,             0.52703,              0.4309,             0.43464,             0.25082,            0.046498,            0.032216,            0.014358,            0.008053,            0.008053,            0.008053
                  61,            0.050743,            0.059335,            0.015276,              0.5275,             0.43135,             0.43563,             0.25193,             0.04647,            0.032202,             0.01433,             0.00802,             0.00802,             0.00802
